OTU	SMPL0	SMPL1	SMPL2	SMPL3	SMPL4	SMPL5	SMPL6	SMPL7	SMPL8	SMPL9	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL60	SMPL61	SMPL62	SMPL63	SMPL64	SMPL65	SMPL66	SMPL67	SMPL68	SMPL69	SMPL70	SMPL71	SMPL72	SMPL73	SMPL74	SMPL75	SMPL76	SMPL77	SMPL78	SMPL79	SMPL80	SMPL81	SMPL82	SMPL83	SMPL84	SMPL85	SMPL86	SMPL87	SMPL88	SMPL89	SMPL90	SMPL91	SMPL92	SMPL93	SMPL94	SMPL95	SMPL96	SMPL97	SMPL98	SMPL99	SMPL100	SMPL101	SMPL102	SMPL103	SMPL104	SMPL105	SMPL106	SMPL107
OTU_11	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38349	64033	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1983	0	0	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	796	0	0	0	0	0	0	0	0	0	0
OTU_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	4	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	37148	61639	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	113	0	0	0	2	0	0	4	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32418	52795	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	178	0	0	0	4	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27658	0	0	0	48428	0	0	2320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	776	841	0	0	0	1038	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15	0	0	0	1	0	0	0	0	134	0	0	0	0	0	3424	5	4250	0	0	0	0	0	6764	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1628	483	17	0	2141	0	0	0	0	0	0	1	1	948	0	0	14308	8	270	9	21	14437	236	0	0	14	0	0	1	1	12	0	0	0	2	145	0	11	29	0	0	0	4053	0	5174	1980	9	0	0	59	496	7125	0	0	2271	0	2122	0	0	0	0	0	7	0	127	0	927
OTU_16	0	0	0	125	0	0	0	0	3977	0	0	0	0	0	1	264	1	0	0	1	7124	0	6	47	0	0	2524	0	0	0	0	0	0	66	0	0	0	0	0	1481	389	1653	455	13	0	21	0	0	0	0	0	0	1302	4	0	0	0	3	5270	5	425	8	11	245	1877	0	1	66	0	2	0	0	0	0	0	125	15129	0	5086	49	0	0	0	76	0	2	18944	64	0	0	2	0	0	0	0	20	0	2	0	0	0	0	0	463	0	0	0	2
OTU_17	0	129	550	86	800	1153	43	7242	253	74	3903	195	184	0	24	130	2	419	16	132	33	5	10	55	17998	79	1022	82	40	0	525	81	105	15	20	10	77	35	0	89	107	222	0	0	0	0	72	72	15	119	45	1135	2444	1	1	2150	6	0	24	26	66	56	33	267	33	4378	1142	1512	2012	77	640	0	3	64	55	7	114	422	43	382	58	71	5	0	74	400	7521	277	0	660	90	14	14	223	279	61	332	141	22	908	893	21	1	528	7	160	0	18
OTU_18	0	0	0	5050	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	2	0	5	8088	0	0	5	0	0	0	0	0	0	16221	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	31202	0	0	0	0	15	0	58	18	1	5	0	0	71	3	22	0	0	1	1	0	0	0	2	2	0	0	342	0	0	0	0	0	0	35	9	0	0	119	3	0	0	0	2	0	1	0	0	0	0	0	79	0	3	0	1138
OTU_19	136	2	11	120	36	38	0	0	3825	0	536	10	96	0	0	281	0	0	17	3	5966	1	8	68	0	0	2563	15	10	0	103	8	16	58	0	0	0	2	0	1301	384	1503	435	13	3	24	6	150	0	2	10	1290	1446	3	0	0	1	1	5016	3	387	3	10	256	1746	2	0	59	0	3	1	0	0	0	0	129	11944	77	4807	52	5	5	13	55	7	5	16167	53	100	10	7	0	0	0	6	24	0	1	98	0	0	5	1	397	0	1	0	2
OTU_20	0	0	0	69	0	0	0	0	0	0	0	0	0	0	16	1262	4	0	0	2	5	0	0	0	0	0	755	0	0	0	0	0	0	0	0	0	0	0	0	1539	1151	6242	14055	114	0	2	0	0	0	0	0	0	0	28	0	0	0	43	1	0	618	5	32	71	0	1021	16	256	0	383	8649	11894	0	0	0	93	0	0	0	47	0	0	0	8	0	18	1159	4527	0	0	233	367	0	0	0	1	0	79	0	0	0	0	0	57	0	95	0	13
OTU_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	49	1	0	0	35	16	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4398	79	947	10	0	0	2566	0	0	0	0	0	0	0	4	1	0	0	124	1	0	12	2	321	31	16502	0	18494	1	0	440	220	11	0	0	0	23	13	0	23	15	0	0	0	43	0	87	6029	127	0	0	1	9	0	0	0	6	0	33	0	0	0	0	0	5	0	0	0	0
OTU_22	447	4	0	8	8001	0	0	114	0	0	50	0	48	0	4	0	3	83	4	0	4	0	6	0	57	414	0	0	0	0	0	0	0	15	0	7	0	0	7	0	1	0	0	28246	0	4	0	0	1	0	0	245	0	0	0	246	2	15	0	0	157	3	14	0	0	0	881	0	0	0	1	33	0	0	4	10	0	0	0	0	6	73	105	1	0	0	0	199	0	0	0	0	0	0	8857	2	0	4	10	0	1	0	1	1	8	0	0	194
OTU_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	4	0	0	0	7	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	8	0	0	0	375	0	0	0	0	0	0	0	0	0	0	70	44594	0	0	0	0	0	0	207	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_24	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4215	7131	1	2	0	1	0	0	0	0	0	0	0	0	31803	0	0	3	0	0	0	1	53	0	0	0	608	0	0	0	1	1	0	0	0	43	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	111	0	0	0	2	0	0	0	0	0	3	0	0	0	2
OTU_25	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	335	0	3	82	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	54	2	1706	0	7	2	32	0	0	12	0	0	0	0	2	0	0	0	33	0	0	0	486	0	0	302	3	0	0	10	81	23	0	0	0	0	478	515	0	0	0	0	59	0	38403	0	0
